target,session_id,region,stimulus_family,n_supervised_rows,n_trials,status,observed_baseline_r2,observed_memory_r2,observed_memory_gain_r2,shuffle_gain_mean,shuffle_gain_sd,observed_minus_shuffle_mean,empirical_p_shuffle_ge_observed,fraction_shuffle_positive,n_valid_shuffles,session_id_synthesis,lag_label,lags,n_lags
population_state_speed,715093703,VISl,spontaneous,2071,15,ok,0.0589139409930837,0.044465378680237,-0.0144485623128467,-0.005202853971153,0.0025084209389343,-0.0092457083416936,1.0,0.02,50,715093703,lag12,"1,2",2
population_state_speed,715093703,VISp,spontaneous,2071,15,ok,0.0334619836765823,-0.0543607771996328,-0.0878227608762152,-0.00454905537372,0.0040526531310961,-0.0832737055024951,1.0,0.12,50,715093703,lag12,"1,2",2
active_unit_fraction,715093703,CA1,spontaneous,2056,15,ok,0.171820980497517,0.3073123614414627,0.1354913809439456,-0.0064472995431688,0.0027775185002131,0.1419386804871145,0.0196078431372549,0.02,50,715093703,lag123,"1,2,3",3
active_unit_fraction,715093703,LGd,spontaneous,2056,15,ok,0.3786599650169214,0.4033490302685129,0.0246890652515914,-0.0054983871654842,0.0019162260406272,0.0301874524170757,0.0196078431372549,0.0,50,715093703,lag123,"1,2,3",3
active_unit_fraction,715093703,VISl,spontaneous,2056,15,ok,0.3995572238692221,0.4992827884231312,0.0997255645539091,-0.0044740502331953,0.0017938374359864,0.1041996147871045,0.0196078431372549,0.0,50,715093703,lag123,"1,2,3",3
active_unit_fraction,715093703,VISp,spontaneous,2056,15,ok,0.5794959833121835,0.6420570480709684,0.0625610647587848,-0.0033676138289732,0.0018997494173872,0.0659286785877581,0.0196078431372549,0.02,50,715093703,lag123,"1,2,3",3
population_rate_entropy,715093703,CA1,spontaneous,2056,15,ok,0.175250315146114,0.2930140680164091,0.1177637528702951,-0.0062003545893429,0.003251958009588,0.1239641074596381,0.0196078431372549,0.02,50,715093703,lag123,"1,2,3",3
population_rate_entropy,715093703,LGd,spontaneous,2056,15,ok,0.2935468681607224,0.3244716101505984,0.030924741989876,-0.0062846334941365,0.0023402564836416,0.0372093754840125,0.0196078431372549,0.02,50,715093703,lag123,"1,2,3",3
population_rate_entropy,715093703,VISl,spontaneous,2056,15,ok,0.366391628010266,0.478601333638426,0.11220970562816,-0.0050174465653989,0.0020725526558511,0.1172271521935589,0.0196078431372549,0.02,50,715093703,lag123,"1,2,3",3
population_rate_entropy,715093703,VISp,spontaneous,2056,15,ok,0.6212637370920828,0.6185356905391348,-0.002728046552948,-0.0021879213797059,0.0038858719174185,-0.000540125173242,0.6078431372549019,0.34,50,715093703,lag123,"1,2,3",3
population_mean_rate_hz,715093703,CA1,spontaneous,2056,15,ok,0.1087332903266866,0.1719112329664371,0.0631779426397505,-0.0067678621745586,0.0029362384606895,0.0699458048143091,0.0196078431372549,0.02,50,715093703,lag123,"1,2,3",3
population_mean_rate_hz,715093703,LGd,spontaneous,2056,15,ok,0.4943018697977018,0.5116400705975527,0.0173382007998508,-0.0042242418968781,0.0014870805264711,0.0215624426967289,0.0196078431372549,0.0,50,715093703,lag123,"1,2,3",3
population_mean_rate_hz,715093703,VISl,spontaneous,2056,15,ok,0.4165943352157346,0.5004559270930368,0.0838615918773021,-0.0044462345130209,0.0020228129837976,0.0883078263903231,0.0196078431372549,0.02,50,715093703,lag123,"1,2,3",3
population_mean_rate_hz,715093703,VISp,spontaneous,2056,15,ok,0.5126152991524703,0.5499377749310521,0.0373224757785818,-0.0037961590988076,0.0016971469751367,0.0411186348773895,0.0196078431372549,0.04,50,715093703,lag123,"1,2,3",3
population_state_speed,715093703,CA1,spontaneous,2056,15,ok,0.1190589182150748,0.135283243247845,0.0162243250327701,-0.0068414836013975,0.0026135892182301,0.0230658086341677,0.0196078431372549,0.0,50,715093703,lag123,"1,2,3",3
population_state_speed,715093703,LGd,spontaneous,2056,15,ok,0.0348712400230629,0.027226871827002,-0.0076443681960609,-0.007781078271352,0.0034653321192249,0.000136710075291,0.4509803921568627,0.02,50,715093703,lag123,"1,2,3",3
population_state_speed,715093703,VISl,spontaneous,2056,15,ok,0.0615215361978537,0.0508191576449468,-0.0107023785529069,-0.0076488833219613,0.0027782284332661,-0.0030534952309455,0.8823529411764706,0.0,50,715093703,lag123,"1,2,3",3
population_state_speed,715093703,VISp,spontaneous,2056,15,ok,0.0363968740403876,-0.0990921138467986,-0.1354889878871862,-0.0082340312215713,0.0049849774662245,-0.1272549566656148,1.0,0.08,50,715093703,lag123,"1,2,3",3
active_unit_fraction,715093703,CA1,spontaneous,2041,14,ok,0.170326010698163,0.3237926173742075,0.1534666066760445,-0.0082114050617441,0.0031323925471782,0.1616780117377886,0.0196078431372549,0.0,50,715093703,lag1234,"1,2,3,4",4
active_unit_fraction,715093703,LGd,spontaneous,2041,14,ok,0.3806772490428914,0.4080578836286979,0.0273806345858064,-0.0065908835677069,0.0025714738748303,0.0339715181535133,0.0196078431372549,0.0,50,715093703,lag1234,"1,2,3,4",4
active_unit_fraction,715093703,VISl,spontaneous,2041,14,ok,0.4008806897133933,0.503463311239086,0.1025826215256927,-0.0064793924524651,0.0022903878106947,0.1090620139781578,0.0196078431372549,0.0,50,715093703,lag1234,"1,2,3,4",4
active_unit_fraction,715093703,VISp,spontaneous,2041,14,ok,0.5802146379646557,0.6522012728634708,0.0719866348988151,-0.0044566845139044,0.0021692596537119,0.0764433194127196,0.0196078431372549,0.02,50,715093703,lag1234,"1,2,3,4",4
population_rate_entropy,715093703,CA1,spontaneous,2041,14,ok,0.1749935750104227,0.3113743448390218,0.136380769828599,-0.0080993025510652,0.0034756272199425,0.1444800723796642,0.0196078431372549,0.02,50,715093703,lag1234,"1,2,3,4",4
population_rate_entropy,715093703,LGd,spontaneous,2041,14,ok,0.3013381977870885,0.3314569693073483,0.0301187715202598,-0.008269850612604,0.0029037614912206,0.0383886221328639,0.0196078431372549,0.0,50,715093703,lag1234,"1,2,3,4",4
population_rate_entropy,715093703,VISl,spontaneous,2041,14,ok,0.3685467867697354,0.486326445638412,0.1177796588686765,-0.007124625801502,0.0025182591214581,0.1249042846701786,0.0196078431372549,0.02,50,715093703,lag1234,"1,2,3,4",4
population_rate_entropy,715093703,VISp,spontaneous,2041,14,ok,0.6240620340963863,0.645970360902983,0.0219083268065967,-0.0024115276079905,0.0043717317424198,0.0243198544145872,0.0196078431372549,0.24,50,715093703,lag1234,"1,2,3,4",4
population_mean_rate_hz,715093703,CA1,spontaneous,2041,14,ok,0.1071824862083389,0.176678394361842,0.0694959081535031,-0.0099750245019772,0.0030594422385805,0.0794709326554803,0.0196078431372549,0.0,50,715093703,lag1234,"1,2,3,4",4
population_mean_rate_hz,715093703,LGd,spontaneous,2041,14,ok,0.4970838210525247,0.5172134259647643,0.0201296049122395,-0.0056483976286222,0.0018507630974942,0.0257780025408618,0.0196078431372549,0.0,50,715093703,lag1234,"1,2,3,4",4
population_mean_rate_hz,715093703,VISl,spontaneous,2041,14,ok,0.4175581556988101,0.5058659448560453,0.0883077891572351,-0.0068795084957833,0.0022996974688101,0.0951872976530185,0.0196078431372549,0.0,50,715093703,lag1234,"1,2,3,4",4
population_mean_rate_hz,715093703,VISp,spontaneous,2041,14,ok,0.5148795972907145,0.552718788864491,0.0378391915737764,-0.0048620214190711,0.0019498658583179,0.0427012129928476,0.0196078431372549,0.0,50,715093703,lag1234,"1,2,3,4",4
population_state_speed,715093703,CA1,spontaneous,2041,14,ok,0.1214061907051674,0.1343614872207106,0.0129552965155431,-0.0097263666461978,0.0028927658137064,0.0226816631617409,0.0196078431372549,0.0,50,715093703,lag1234,"1,2,3,4",4
population_state_speed,715093703,LGd,spontaneous,2041,14,ok,0.0349212115539881,0.0255035475655975,-0.0094176639883906,-0.0103738896027401,0.0036174545908517,0.0009562256143495,0.392156862745098,0.0,50,715093703,lag1234,"1,2,3,4",4
population_state_speed,715093703,VISl,spontaneous,2041,14,ok,0.0609053835429016,0.0495818826296018,-0.0113235009132998,-0.0095425534884779,0.0039518081711272,-0.0017809474248218,0.7254901960784313,0.02,50,715093703,lag1234,"1,2,3,4",4
population_state_speed,715093703,VISp,spontaneous,2041,14,ok,0.0282264382367317,-0.1526906336699613,-0.1809170719066931,-0.0119762786700558,0.0068691120108274,-0.1689407932366373,1.0,0.04,50,715093703,lag1234,"1,2,3,4",4
active_unit_fraction,719161530,CA1,spontaneous,2086,15,ok,0.1931543853104028,0.2363354138667491,0.0431810285563463,-0.0020077804001005,0.0017657822218595,0.0451888089564468,0.0196078431372549,0.08,50,719161530,lag1,1,1
active_unit_fraction,719161530,LGd,spontaneous,2086,15,ok,0.5583215443449272,0.5910468949188321,0.0327253505739049,-0.0011891759335202,0.0007822176503784,0.0339145265074251,0.0196078431372549,0.06,50,719161530,lag1,1,1
active_unit_fraction,719161530,VISl,spontaneous,2086,15,ok,0.272558010689757,0.3271043811180363,0.0545463704282792,-0.0021546252860327,0.0011606000743275,0.0567009957143119,0.0196078431372549,0.04,50,719161530,lag1,1,1
active_unit_fraction,719161530,VISp,spontaneous,2086,15,ok,0.4551959368512651,0.5017625411294862,0.046566604278221,-0.0012417864067621,0.0010428657771054,0.0478083906849832,0.0196078431372549,0.08,50,719161530,lag1,1,1
population_rate_entropy,719161530,CA1,spontaneous,2086,15,ok,0.2038676524529511,0.2390519202000511,0.0351842677471,-0.0015803621133262,0.0019703879319719,0.0367646298604262,0.0196078431372549,0.18,50,719161530,lag1,1,1
population_rate_entropy,719161530,LGd,spontaneous,2086,15,ok,0.4570627117950838,0.48489553340784,0.0278328216127561,-0.0015517273381418,0.0009752402832782,0.0293845489508979,0.0196078431372549,0.06,50,719161530,lag1,1,1
population_rate_entropy,719161530,VISl,spontaneous,2086,15,ok,0.213428049817124,0.262367596348556,0.0489395465314319,-0.0019428766187136,0.0016036350856482,0.0508824231501456,0.0196078431372549,0.1,50,719161530,lag1,1,1
population_rate_entropy,719161530,VISp,spontaneous,2086,15,ok,0.3733564014323821,0.4142500821166693,0.0408936806842872,-0.0013634550466953,0.0012773202842717,0.0422571357309826,0.0196078431372549,0.12,50,719161530,lag1,1,1
population_mean_rate_hz,719161530,CA1,spontaneous,2086,15,ok,0.1518836790991149,0.1820782304025291,0.0301945513034141,-0.0022703458554672,0.0014805786291724,0.0324648971588814,0.0196078431372549,0.08,50,719161530,lag1,1,1
