target,n_ok_groups,median_baseline_r2,median_memory_r2,median_observed_gain,mean_observed_gain,fraction_observed_positive,median_shuffle_gain_mean,mean_shuffle_gain_mean,median_observed_minus_shuffle,mean_observed_minus_shuffle,fraction_observed_above_shuffle_mean,median_empirical_p,min_empirical_p,rank_by_controlled_memory,session_id_synthesis,lag_label,lags,n_lags
population_rate_entropy,4,0.2958263625045724,0.3627113778271985,0.0664631528545017,0.0621229094002029,1.0,-0.0052595425763674,-0.0053178630875081,0.0720423994511647,0.067440772487711,1.0,0.0196078431372549,0.0196078431372549,2,719161530,lag123,"1,2,3",3
population_mean_rate_hz,4,0.3680272281062657,0.4009457587541653,0.0417313865096848,0.0373249585787922,1.0,-0.0053479137416622,-0.0051315842365684,0.0466466412411595,0.0424565428153606,1.0,0.0196078431372549,0.0196078431372549,3,719161530,lag123,"1,2,3",3
population_state_speed,4,0.1111513134321591,0.1210360259485515,0.0053274861579594,0.0072975845731981,0.5,-0.0072919979331854,-0.0074986239897662,0.012579641366199,0.0147962085629644,1.0,0.0392156862745098,0.0196078431372549,4,719161530,lag123,"1,2,3",3
active_unit_fraction,4,0.366720048360323,0.4468679660085173,0.0801479176481942,0.0710214821619631,1.0,-0.0069582231063844,-0.0068062848917159,0.0871061407545787,0.077827767053679,1.0,0.0196078431372549,0.0196078431372549,1,719161530,lag1234,"1,2,3,4",4
population_rate_entropy,4,0.2995550280785068,0.3766581984904527,0.0722423376714004,0.0673848797365114,1.0,-0.0069951335895644,-0.0070695677911654,0.0797210320888034,0.0744544475276769,1.0,0.0196078431372549,0.0196078431372549,2,719161530,lag1234,"1,2,3,4",4
population_mean_rate_hz,4,0.3694628369836829,0.405828181801887,0.0442603727269768,0.0403128587725904,1.0,-0.0068977821056176,-0.0067488368733684,0.050860264368096,0.0470616956459588,1.0,0.0196078431372549,0.0196078431372549,3,719161530,lag1234,"1,2,3,4",4
population_state_speed,4,0.1108017729183983,0.1207201161690558,0.0026820996028272,0.0066418762090518,0.5,-0.0098428948091003,-0.010090546870087,0.0123230486271633,0.0167324230791389,1.0,0.0490196078431372,0.0196078431372549,4,719161530,lag1234,"1,2,3,4",4
population_rate_entropy,4,0.2414672381148535,0.2836725828843722,0.036438419615707,0.0374489829530453,1.0,-0.0016252518131896,-0.0016601291095018,0.0380636714288966,0.0391091120625472,1.0,0.0196078431372549,0.0196078431372549,1,750749662,lag1,1,1
active_unit_fraction,4,0.2275982800047467,0.2647469944277711,0.0333904460844423,0.0299845536650234,1.0,-0.0017369971559806,-0.0017687886988089,0.0349319405024628,0.0317533423638323,1.0,0.0196078431372549,0.0196078431372549,2,750749662,lag1,1,1
population_mean_rate_hz,4,0.2817572498862625,0.3037921051427143,0.0184506917073289,0.0161560333868339,0.75,-0.0017444402890551,-0.0016143892082225,0.019930539542985,0.0177704225950564,0.75,0.0196078431372549,0.0196078431372549,3,750749662,lag1,1,1
population_state_speed,4,0.1331134960689428,0.1332000561429131,0.0084903581142703,0.0086152655126973,0.5,-0.0023509565075985,-0.0023340556814025,0.0107280942707868,0.0109493211940998,0.75,0.0784313725490196,0.0196078431372549,4,750749662,lag1,1,1
population_rate_entropy,4,0.2410397075479046,0.2971284910923232,0.0459094696777648,0.0485655810677949,1.0,-0.0019344459132756,-0.0018420522926916,0.0480058745834322,0.0504076333604866,1.0,0.0196078431372549,0.0196078431372549,1,750749662,lag2,2,1
active_unit_fraction,4,0.2271452488811294,0.2759438085646923,0.0343448626789739,0.0409582335089612,1.0,-0.0019954902097818,-0.0018173172513341,0.0363403528887557,0.0427755507602954,1.0,0.0196078431372549,0.0196078431372549,2,750749662,lag2,2,1
population_mean_rate_hz,4,0.2823435097730241,0.3166287780331479,0.0283745597775191,0.0253740750832071,1.0,-0.0016314259134418,-0.0015909500570604,0.0297082868378972,0.0269650251402675,1.0,0.0196078431372549,0.0196078431372549,3,750749662,lag2,2,1
population_state_speed,4,0.1350685140145809,0.1401810211742306,0.011999265844921,0.0111748854480211,0.75,-0.002151021008044,-0.002111485714981,0.0141502868529651,0.0132863711630021,1.0,0.0196078431372549,0.0196078431372549,4,750749662,lag2,2,1
population_rate_entropy,4,0.2410397075479046,0.3095550509090208,0.0603448354198344,0.0612032093982687,1.0,-0.0038614661490078,-0.0036316272469717,0.0643047010303212,0.0648348366452404,1.0,0.0196078431372549,0.0196078431372549,1,750749662,lag12,"1,2",2
active_unit_fraction,4,0.2271452488811294,0.2880140442080734,0.0452814658616493,0.0499260206350872,1.0,-0.0035311220753958,-0.0033318905956889,0.0482011761219316,0.0532579112307762,1.0,0.0196078431372549,0.0196078431372549,2,750749662,lag12,"1,2",2
population_mean_rate_hz,4,0.2823435097730241,0.3207527569225556,0.0303895911665497,0.0273339175400485,0.75,-0.0034815236708692,-0.0033592883012537,0.0332676326644894,0.0306932058413022,1.0,0.0196078431372549,0.0196078431372549,3,750749662,lag12,"1,2",2
population_state_speed,4,0.1350685140145809,0.1448034547000865,0.0174675013043252,0.0156883804884699,0.75,-0.0045701453560577,-0.0044806874445658,0.0221032064798526,0.0201690679330358,0.75,0.0196078431372549,0.0196078431372549,4,750749662,lag12,"1,2",2
population_rate_entropy,4,0.24199684397329,0.3215808817604338,0.0784706378895176,0.0749827374615123,1.0,-0.0061060459010088,-0.0059049458544244,0.0851814991186549,0.0808876833159367,1.0,0.0196078431372549,0.0196078431372549,1,750749662,lag123,"1,2,3",3
active_unit_fraction,4,0.2296787357300763,0.2998022484061593,0.0540928618970654,0.0585345651701803,1.0,-0.0057636081256001,-0.0052726870667914,0.0599900938964848,0.0638072522369718,1.0,0.0196078431372549,0.0196078431372549,2,750749662,lag123,"1,2,3",3
population_mean_rate_hz,4,0.2863686253452273,0.3269780383947323,0.0323511409276126,0.0304220086566196,1.0,-0.0056967929025313,-0.0052831385459388,0.0370191271704478,0.0357051472025585,1.0,0.0196078431372549,0.0196078431372549,3,750749662,lag123,"1,2,3",3
population_state_speed,4,0.1291013692784661,0.132069886394552,0.0105252880364852,0.012054414707763,0.5,-0.0067281789529835,-0.0067120343191927,0.0172534669894687,0.0187664490269557,0.75,0.0196078431372549,0.0196078431372549,4,750749662,lag123,"1,2,3",3
population_rate_entropy,4,0.2506439523717457,0.3384344850603073,0.0860794115838015,0.0799197717211423,1.0,-0.0075404055171657,-0.0071288602317324,0.0936198171009672,0.0870486319528748,1.0,0.0196078431372549,0.0196078431372549,1,750749662,lag1234,"1,2,3,4",4
active_unit_fraction,4,0.233806265687928,0.3091115081973433,0.0586136666322343,0.0615751977188798,1.0,-0.0078779228138011,-0.0070419345543038,0.0664915894460354,0.0686171322731837,1.0,0.0196078431372549,0.0196078431372549,2,750749662,lag1234,"1,2,3,4",4
population_mean_rate_hz,4,0.286665367978015,0.3280201907140193,0.0345695752837716,0.030282618745008,0.75,-0.0071854590065862,-0.0069187622728398,0.0408495603975897,0.0372013810178479,1.0,0.0196078431372549,0.0196078431372549,3,750749662,lag1234,"1,2,3,4",4
population_state_speed,4,0.1308271623602704,0.128335210518979,0.0076375555804934,0.0110691141597366,0.75,-0.0093390779616693,-0.0093531308245075,0.0169766335421627,0.0204222449842441,0.75,0.0196078431372549,0.0196078431372549,4,750749662,lag1234,"1,2,3,4",4
active_unit_fraction,4,0.4389683188689375,0.4757198171534146,0.0424573028451745,0.0427768298610494,1.0,-0.0016451899641642,-0.0017097780758083,0.0438324537880651,0.0444866079368578,1.0,0.0196078431372549,0.0196078431372549,1,751348571,lag1,1,1
population_rate_entropy,4,0.3787250079652666,0.4057058210011348,0.0365916323190764,0.0402929753490984,1.0,-0.001636860845827,-0.0017519246306499,0.0381879280965596,0.0420448999797484,1.0,0.0196078431372549,0.0196078431372549,2,751348571,lag1,1,1
population_mean_rate_hz,4,0.3978918321464234,0.4141174088617092,0.0162255767152858,0.0344726471405394,1.0,-0.0016349238239997,-0.0015612179136798,0.0178605005392855,0.0360338650542192,1.0,0.0196078431372549,0.0196078431372549,3,751348571,lag1,1,1
population_state_speed,4,0.1024760084339001,0.1051363546430851,0.003739838692049,0.0051972897254968,1.0,-0.002281629090008,-0.0022480480023033,0.0057550554670512,0.0074453377278002,1.0,0.0196078431372549,0.0196078431372549,4,751348571,lag1,1,1
active_unit_fraction,4,0.4382223196946292,0.4737202994375963,0.0530269743294647,0.0425797877303396,1.0,-0.0012925762243806,-0.001386127950637,0.0545544099630564,0.0439659156809766,1.0,0.0196078431372549,0.0196078431372549,1,751348571,lag2,2,1
population_rate_entropy,4,0.3769954296435567,0.4047827934902996,0.0483520715315815,0.0402641422571118,1.0,-0.001811762682123,-0.0018781264718204,0.0501109772696216,0.0421422687289323,1.0,0.0196078431372549,0.0196078431372549,2,751348571,lag2,2,1
population_mean_rate_hz,4,0.3987027724567406,0.4318007614908713,0.0330979890341307,0.0385735719961369,1.0,-0.0014232858551802,-0.0015374968074031,0.034521274889311,0.0401110688035401,1.0,0.0196078431372549,0.0196078431372549,3,751348571,lag2,2,1
population_state_speed,4,0.0995963462043043,0.0956891386371828,0.0002534992588857,0.0015466362033935,0.5,-0.002260715173533,-0.0022572694806783,0.0023590980714751,0.0038039056840718,0.75,0.1176470588235294,0.0196078431372549,4,751348571,lag2,2,1
active_unit_fraction,4,0.4382223196946292,0.4873902553504611,0.0687373461592981,0.0624233550961916,1.0,-0.0029520168561742,-0.0032913266167927,0.0716893630154723,0.0657146817129843,1.0,0.0196078431372549,0.0196078431372549,1,751348571,lag12,"1,2",2
population_rate_entropy,4,0.3769954296435567,0.4176858559358524,0.059263964098928,0.0593304840704297,1.0,-0.0032655661334982,-0.0036903068559503,0.0625295302324263,0.06302079092638,1.0,0.0196078431372549,0.0196078431372549,2,751348571,lag12,"1,2",2
population_mean_rate_hz,4,0.3987027724567406,0.4304978930801656,0.0317951206234251,0.0509759442076105,1.0,-0.003017095080463,-0.0030926070691646,0.0348122157038881,0.0540685512767752,1.0,0.0196078431372549,0.0196078431372549,3,751348571,lag12,"1,2",2
population_state_speed,4,0.0995963462043043,0.0975437468612008,-0.0005551760754777,0.0026844199434364,0.5,-0.0045982316667269,-0.0044921006274781,0.0037147332004315,0.0071765205709146,0.75,0.0784313725490196,0.0196078431372549,4,751348571,lag12,"1,2",2
active_unit_fraction,4,0.4370010425514433,0.492393398274082,0.0841595877996695,0.0717480760266482,1.0,-0.0045990553059916,-0.0052766000729176,0.0887408651987805,0.0770246760995659,1.0,0.0196078431372549,0.0196078431372549,1,751348571,lag123,"1,2,3",3
population_rate_entropy,4,0.3779098680126877,0.4266001200927529,0.0725561771888969,0.0679829245025023,1.0,-0.0049646973991343,-0.005648976339113,0.0773739181521431,0.0736319008416153,1.0,0.0196078431372549,0.0196078431372549,2,751348571,lag123,"1,2,3",3
population_mean_rate_hz,4,0.3983401586985988,0.4353228274807548,0.036982668782156,0.0593281249360026,1.0,-0.0046599109879927,-0.0046671348530828,0.0416425797701487,0.0639952597890855,1.0,0.0196078431372549,0.0196078431372549,3,751348571,lag123,"1,2,3",3
population_state_speed,4,0.0898636718825185,0.0940681599418808,-0.0023822049234631,0.0005301276643007,0.25,-0.0067572321148371,-0.0069133919366881,0.0036222413008527,0.0074435196009889,1.0,0.0784313725490196,0.0196078431372549,4,751348571,lag123,"1,2,3",3
active_unit_fraction,4,0.4430393029349386,0.5056584671187707,0.0931345047177852,0.0765173839174659,1.0,-0.0059588182951105,-0.0066977522897253,0.0987890808782518,0.0832151362071912,1.0,0.0196078431372549,0.0196078431372549,1,751348571,lag1234,"1,2,3,4",4
population_rate_entropy,4,0.3963321999155741,0.4521089811404249,0.0826469406302887,0.0746939049407222,1.0,-0.0064085747176183,-0.0071664804852805,0.0888781751922211,0.0818603854260028,1.0,0.0196078431372549,0.0196078431372549,2,751348571,lag1234,"1,2,3,4",4
population_mean_rate_hz,4,0.4051024282372111,0.4387369134964922,0.033634485259281,0.0585140329688351,1.0,-0.0065054814856102,-0.006462920460623,0.0401399667448913,0.0649769534294582,1.0,0.0196078431372549,0.0196078431372549,3,751348571,lag1234,"1,2,3,4",4
population_state_speed,4,0.0912063985154549,0.0946948808510758,-0.0026352754040676,0.0006389099117692,0.25,-0.0096140875261955,-0.0094292325418781,0.0061635322089393,0.0100681424536473,1.0,0.0294117647058823,0.0196078431372549,4,751348571,lag1234,"1,2,3,4",4
population_rate_entropy,4,0.0861159042930538,0.1137602372359367,0.0238374286909272,0.025740880816905,1.0,-0.0021766608533592,-0.0020511821892144,0.0256187190787861,0.0277920630061195,1.0,0.0196078431372549,0.0196078431372549,1,755434585,lag1,1,1
active_unit_fraction,4,0.10129726807885,0.1213142596817579,0.0191498099415883,0.0198648733911303,1.0,-0.0022414397050276,-0.0021319845452676,0.0205483570917066,0.0219968579363979,1.0,0.0196078431372549,0.0196078431372549,2,755434585,lag1,1,1
population_mean_rate_hz,4,0.1572439531953837,0.1718626432049526,0.01337455361806,0.0139199114643899,1.0,-0.0022552158947529,-0.0019150406795568,0.0148092697404955,0.0158349521439468,1.0,0.0294117647058823,0.0196078431372549,3,755434585,lag1,1,1
population_state_speed,4,0.1811032394333069,0.1945612780023599,0.0087745342394003,0.0092605140749247,0.75,-0.0023624467441365,-0.0022655903682731,0.0111369809835369,0.0115261044431979,0.75,0.0196078431372549,0.0196078431372549,4,755434585,lag1,1,1
population_rate_entropy,4,0.0839367074056355,0.113247642266889,0.0152459508568463,0.0222784428590499,1.0,-0.002292077954818,-0.0021706611551753,0.0172951952123789,0.0244491040142252,1.0,0.0196078431372549,0.0196078431372549,1,755434585,lag2,2,1
active_unit_fraction,4,0.099110066695724,0.1220607105964899,0.0090344806748821,0.0151650345014095,0.5,-0.0021317975562249,-0.0020402082159079,0.0104630917764341,0.0172052427173175,0.5,0.4901960784313726,0.0196078431372549,2,755434585,lag2,2,1
population_state_speed,4,0.1839725613138191,0.1897102546920023,0.0070233139076319,0.0072950213705385,1.0,-0.002078760212052,-0.0020935215017606,0.0092787320238416,0.0093885428722992,1.0,0.0294117647058823,0.0196078431372549,3,755434585,lag2,2,1
population_mean_rate_hz,4,0.1562782940884183,0.1676027430964436,0.0068818920599672,0.0072977471766134,0.5,-0.0019662115226108,-0.0016815509050365,0.0082787823474294,0.00897929808165,0.5,0.5098039215686274,0.0196078431372549,4,755434585,lag2,2,1
population_rate_entropy,4,0.0839367074056355,0.1286929682711643,0.0262800653972582,0.0355181631313935,1.0,-0.0047794406176666,-0.0043813173217752,0.0300627563988072,0.0398994804531687,1.0,0.0196078431372549,0.0196078431372549,1,755434585,lag12,"1,2",2
active_unit_fraction,4,0.099110066695724,0.1323487041757851,0.0172574919110021,0.0253638431600508,0.5,-0.0047092869576083,-0.0041484528419895,0.0208451106373728,0.0295122960020404,1.0,0.0490196078431372,0.0196078431372549,2,755434585,lag12,"1,2",2
population_state_speed,4,0.1839725613138191,0.1959632830906593,0.0085420539300761,0.0091504784447997,0.75,-0.0045517199613491,-0.004531195268505,0.0132967622960516,0.0136816737133048,1.0,0.0196078431372549,0.0196078431372549,3,755434585,lag12,"1,2",2
